utc_timestamp,cet_cest_timestamp,GR_load_actual_entsoe_transparency,GR_load_forecast_entsoe_transparency,GR_solar_generation_actual,GR_wind_onshore_generation_actual
2019-09-30T22:00:00Z,2019-10-01T00:00:00+0200,4410.12,4472.57,0,253
2019-09-30T23:00:00Z,2019-10-01T01:00:00+0200,4290.36,4312.85,0,238
2019-10-01T00:00:00Z,2019-10-01T02:00:00+0200,4232.42,4241.75,0,227
2019-10-01T01:00:00Z,2019-10-01T03:00:00+0200,4239.09,4211.3,0,227
2019-10-01T02:00:00Z,2019-10-01T04:00:00+0200,4359.85,4321.11,0,217
2019-10-01T03:00:00Z,2019-10-01T05:00:00+0200,4716.5,4701.02,0,223
2019-10-01T04:00:00Z,2019-10-01T06:00:00+0200,5110.76,5185.13,20,273
2019-10-01T05:00:00Z,2019-10-01T07:00:00+0200,5566.99,5625.3,344,337
2019-10-01T06:00:00Z,2019-10-01T08:00:00+0200,6060.16,6043.23,871,354
2019-10-01T07:00:00Z,2019-10-01T09:00:00+0200,6324.36,6294.33,1282,313
2019-10-01T08:00:00Z,2019-10-01T10:00:00+0200,6530.87,6502.4,1556,261
2019-10-01T09:00:00Z,2019-10-01T11:00:00+0200,6664.06,6615.77,1696,220
2019-10-01T10:00:00Z,2019-10-01T12:00:00+0200,6661.91,6612.21,1723,164
2019-10-01T11:00:00Z,2019-10-01T13:00:00+0200,6499.44,6415.13,1636,147
2019-10-01T12:00:00Z,2019-10-01T14:00:00+0200,6220.96,6109.07,1432,137
2019-10-01T13:00:00Z,2019-10-01T15:00:00+0200,5997.52,5931.67,1088,126
2019-10-01T14:00:00Z,2019-10-01T16:00:00+0200,5975.65,5903.6,620,104
2019-10-01T15:00:00Z,2019-10-01T17:00:00+0200,6011.42,6034.2,153,86
2019-10-01T16:00:00Z,2019-10-01T18:00:00+0200,6407.01,6406.42,1,67
2019-10-01T17:00:00Z,2019-10-01T19:00:00+0200,6597.49,6604.06,0,67
2019-10-01T18:00:00Z,2019-10-01T20:00:00+0200,6108.43,6103.88,0,67
2019-10-01T19:00:00Z,2019-10-01T21:00:00+0200,5530.94,5503.98,0,71
2019-10-01T20:00:00Z,2019-10-01T22:00:00+0200,5202.01,5203.58,0,71
2019-10-01T21:00:00Z,2019-10-01T23:00:00+0200,4827.25,4661.6,0,73
2019-10-01T22:00:00Z,2019-10-02T00:00:00+0200,4581.11,4391.21,0,72
2019-10-01T23:00:00Z,2019-10-02T01:00:00+0200,4413.64,4251.47,0,63
2019-10-02T00:00:00Z,2019-10-02T02:00:00+0200,4329.59,4190.69,0,57
2019-10-02T01:00:00Z,2019-10-02T03:00:00+0200,4218.58,4179.98,0,60
