utc_timestamp,cet_cest_timestamp,GB_GBN_load_actual_entsoe_transparency,GB_GBN_load_forecast_entsoe_transparency,GB_GBN_price_day_ahead,GB_GBN_solar_capacity,GB_GBN_solar_generation_actual,GB_GBN_solar_profile,GB_GBN_wind_capacity,GB_GBN_wind_generation_actual,GB_GBN_wind_profile,GB_GBN_wind_offshore_capacity,GB_GBN_wind_offshore_generation_actual,GB_GBN_wind_offshore_profile,GB_GBN_wind_onshore_capacity,GB_GBN_wind_onshore_generation_actual,GB_GBN_wind_onshore_profile
2019-09-30T22:00:00Z,2019-10-01T00:00:00+0200,26468,24528,30.04,8220,0,0,20610,7497,0.3638,8493,3475,0.4092,12117,4022,0.332
2019-09-30T23:00:00Z,2019-10-01T01:00:00+0200,23590,22598,26.03,8220,0,0,20610,1677,0.0813,8493,130,0.0153,12117,1546,0.1276
2019-10-01T00:00:00Z,2019-10-01T02:00:00+0200,22142,21893,22.46,8220,0,0,20610,7905,0.3836,8493,3894,0.4586,12117,4011,0.331
2019-10-01T01:00:00Z,2019-10-01T03:00:00+0200,21323,21324,22.46,8220,0,0,20610,7736,0.3753,8493,3744,0.4408,12117,3992,0.3295
2019-10-01T02:00:00Z,2019-10-01T04:00:00+0200,20844,20854,22.19,8220,0,0,20610,4685,0.2273,8493,1893,0.223,12117,2791,0.2304
2019-10-01T03:00:00Z,2019-10-01T05:00:00+0200,20112,21033,22.49,8220,0,0,20610,7563,0.367,8493,3386,0.3987,12117,4177,0.3447
2019-10-01T04:00:00Z,2019-10-01T06:00:00+0200,22554,23423,34.96,8220,0,0,20610,7116,0.3453,8493,3179,0.3743,12117,3937,0.3249
2019-10-01T05:00:00Z,2019-10-01T07:00:00+0200,28498,29630,43.34,8220,0,0,20610,6677,0.324,8493,3277,0.3859,12117,3399,0.2805
2019-10-01T06:00:00Z,2019-10-01T08:00:00+0200,32952,34556,43.9,8220,72,0.0087,20610,6707,0.3254,8493,3138,0.3695,12117,3569,0.2945
2019-10-01T07:00:00Z,2019-10-01T09:00:00+0200,35211,35482,42.99,8220,576,0.0701,20610,6752,0.3276,8493,3100,0.365,12117,3652,0.3014
2019-10-01T08:00:00Z,2019-10-01T10:00:00+0200,36565,36034,40.6,8220,1345,0.1636,20610,6769,0.3284,8493,3238,0.3812,12117,3531,0.2914
2019-10-01T09:00:00Z,2019-10-01T11:00:00+0200,36336,36224,38.92,8220,1910,0.2324,20610,4300,0.2086,8493,1739,0.2048,12117,2561,0.2114
2019-10-01T10:00:00Z,2019-10-01T12:00:00+0200,36858,36670,36.53,8220,2775,0.3376,20610,4625,0.2244,8493,2092,0.2464,12117,2533,0.209
2019-10-01T11:00:00Z,2019-10-01T13:00:00+0200,37280,36736,35.55,8220,3205,0.3899,20610,7737,0.3754,8493,4348,0.512,12117,3388,0.2796
2019-10-01T12:00:00Z,2019-10-01T14:00:00+0200,36824,36648,34.21,8220,3155,0.3838,20610,7682,0.3728,8493,4469,0.5262,12117,3213,0.2652
2019-10-01T13:00:00Z,2019-10-01T15:00:00+0200,36854,36210,34.12,8220,2895,0.3522,20610,4726,0.2293,8493,2397,0.2822,12117,2329,0.1922
2019-10-01T14:00:00Z,2019-10-01T16:00:00+0200,36711,36270,37.15,8220,2410,0.2932,20610,7877,0.3822,8493,4670,0.5499,12117,3207,0.2646
2019-10-01T15:00:00Z,2019-10-01T17:00:00+0200,37412,37538,41.02,8220,1360,0.1654,20610,7490,0.3634,8493,4266,0.5024,12117,3223,0.266
2019-10-01T16:00:00Z,2019-10-01T18:00:00+0200,37606,37964,45.5,8220,508,0.0618,20610,6719,0.326,8493,3735,0.4398,12117,2984,0.2462
2019-10-01T17:00:00Z,2019-10-01T19:00:00+0200,38908,37654,49.92,8220,44,0.0054,20610,6318,0.3066,8493,3587,0.4224,12117,2731,0.2254
2019-10-01T18:00:00Z,2019-10-01T20:00:00+0200,41420,36709,48.19,8220,1,0.0001,20610,6489,0.3148,8493,3789,0.4461,12117,2700,0.2228
2019-10-01T19:00:00Z,2019-10-01T21:00:00+0200,37049,34618,45.41,8220,2,0.0002,20610,7115,0.3452,8493,4397,0.5177,12117,2718,0.2243
2019-10-01T20:00:00Z,2019-10-01T22:00:00+0200,32828,31530,39.04,8220,0,0,20610,7286,0.3535,8493,4596,0.5411,12117,2690,0.222
2019-10-01T21:00:00Z,2019-10-01T23:00:00+0200,30402,27990,32.4,8220,0,0,20610,7298,0.3541,8493,4689,0.5521,12117,2609,0.2153
2019-10-01T22:00:00Z,2019-10-02T00:00:00+0200,15128,24336,31.7,8220,0,0,20610,7130,0.346,8493,4631,0.5452,12117,2499,0.2062
2019-10-01T23:00:00Z,2019-10-02T01:00:00+0200,24832,22612,27.56,8220,0,0,20610,7037,0.3414,8493,4591,0.5406,12117,2446,0.2019
2019-10-02T00:00:00Z,2019-10-02T02:00:00+0200,23442,22361,27,8220,0,0,20610,4074,0.1977,8493,2279,0.2684,12117,1795,0.1482
2019-10-02T01:00:00Z,2019-10-02T03:00:00+0200,22296,22192,25.12,8220,0,0,20610,6620,0.3212,8493,4237,0.4988,12117,2383,0.1967
2019-10-02T02:00:00Z,2019-10-02T04:00:00+0200,21744,21668,24.45,8220,0,0,20610,6955,0.3375,8493,4413,0.5196,12117,2541,0.2098
2019-10-02T03:00:00Z,2019-10-02T05:00:00+0200,21749,21698,25.78,8220,0,0,20610,7026,0.3409,8493,4401,0.5182,12117,2626,0.2167
2019-10-02T04:00:00Z,2019-10-02T06:00:00+0200,23038,23700,37.64,8220,0,0,20610,4402,0.2136,8493,2336,0.275,12117,2066,0.1705
2019-10-02T05:00:00Z,2019-10-02T07:00:00+0200,28618,29626,44.92,8220,0,0,20610,7329,0.3556,8493,4382,0.5159,12117,2947,0.2432
2019-10-02T06:00:00Z,2019-10-02T08:00:00+0200,34634,34586,45.06,8220,244,0.0297,20610,7368,0.3575,8493,4425,0.521,12117,2943,0.2429
2019-10-02T07:00:00Z,2019-10-02T09:00:00+0200,37158,35475,44.84,8220,1655,0.2013,20610,4361,0.2116,8493,2306,0.2716,12117,2055,0.1696
2019-10-02T08:00:00Z,2019-10-02T10:00:00+0200,36820,35738,43.32,8220,3355,0.4082,20610,6553,0.318,8493,3936,0.4634,12117,2617,0.216
